resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
2K,2:3,Landscape,1.3,2560,1712,1969.230769,1316.923077,1968,1312,2558,1706,-2,-6,"-2W, -6H",yes,width+height,-1.230769,-4.923077
2K,2:3,Landscape,1.4,2560,1712,1828.571429,1222.857143,1824,1216,2554,1702,-6,-10,"-6W, -10H",yes,width+height,-4.571429,-6.857143
2K,2:3,Landscape,1.5,2560,1712,1706.666667,1141.333333,1712,1136,2568,1704,8,-8,"+8W, -8H",yes,width+height,5.333333,-5.333333
2K,2:3,Landscape,1.6,2560,1712,1600.000000,1070.000000,1600,1072,2560,1715,0,3,+3H,yes,height,0.000000,2.000000
2K,2:3,Landscape,1.7,2560,1712,1505.882353,1007.058824,1504,1008,2557,1714,-3,2,"-3W, +2H",yes,width+height,-1.882353,0.941176
2K,2:3,Landscape,1.8,2560,1712,1422.222222,951.111111,1424,944,2563,1699,3,-13,"+3W, -13H",yes,width+height,1.777778,-7.111111
2K,2:3,Landscape,1.9,2560,1712,1347.368421,901.052632,1344,896,2554,1702,-6,-10,"-6W, -10H",yes,width+height,-3.368421,-5.052632
2K,2:3,Landscape,2.0,2560,1712,1280.000000,856.000000,1280,864,2560,1728,0,16,+16H,yes,height,0.000000,8.000000
2K,2:3,Portrait,1.0,1712,2560,1712.000000,2560.000000,1712,2560,1712,2560,0,0,0,no,,0.000000,0.000000
2K,2:3,Portrait,1.1,1712,2560,1556.363636,2327.272727,1552,2320,1707,2552,-5,-8,"-5W, -8H",yes,width+height,-4.363636,-7.272727
2K,2:3,Portrait,1.2,1712,2560,1426.666667,2133.333333,1424,2128,1709,2554,-3,-6,"-3W, -6H",yes,width+height,-2.666667,-5.333333
2K,2:3,Portrait,1.3,1712,2560,1316.923077,1969.230769,1312,1968,1706,2558,-6,-2,"-6W, -2H",yes,width+height,-4.923077,-1.230769
2K,2:3,Portrait,1.4,1712,2560,1222.857143,1828.571429,1216,1824,1702,2554,-10,-6,"-10W, -6H",yes,width+height,-6.857143,-4.571429
